Adafruit GPS library basic test!
OP,11,2*6EAb’Êrb‰‰‰&%KS–M,©ÅR:%ŠI¦'§KK–60.ÁÁr‚b‰ÉJ!á 5Q‚$PGTOP,11,2*6E
$GPGGA,235948.000,,,,0,00,,,M,,M,,*79
$GPRMC,235948.000,V,,,,,0.00,0.00,050180,,,N*4
$PMTK001,300,3*33
$PGACK,33,1*6F
$PGTOP,11,2*6E
$GPGGA,235948.200,,,,0,00,,,M,,M,,*7B
$GPRMC,235948.200,V,,,,,0.00,0.00,050180,,,N42
$PGTOP,11,2*6E
$GPGGA,235948.400,,,,,0,00,,,M,,M,,*7D
$GPRMC,235948.400,V,,,,,0.00,0.00,050180,,,N*44
$PGTOP,11,2*6E
$GPGGA,235948.599,,,,,0,00,,,M,,M,,*7C
$GPRMC,235948.599,V,,,,,0.00,0.00,050180,,,N*45
$PGTOP,11,2*6E
$GPGGA,235948.799,,,,,0,00,,,M,,M,,*7E
$GPRMC,235948.799,V,,,,,0.00,0.00,050180,,,N*47
$PGTOP,11,2*6E
$GPGGA,235949.000,,,,,0,00,,,M,,M,,*78
$GPRMC,235949.000,V,,,,,0.00,0.00,050180,,,N*41
$PGTOP,11,2*6E
$GPGGA,235949.200,,,,,0,00,,,M,,M,,*7A
$GPRMC,235949.200,V,,,,,0.00,0.00,050180,,,N*43
$PGTOP,11,2*6E
$GPGGA,235949.400,,,,,0,00,,,M,,M,,*7C
$GPRMC,235949.400,V,,,,,0.00,0.00,050180,,,N*45
$PGTOP,11,2*6E
$GPGGA,235949.599,,,,,0,00,,,M,,M,,*7D
$GPRMC,235949.599,V,,,,,0.00,0.00,050180,,,N*44
$PGTOP,11,2*6E
$GPGGA,235949.799,,,,,0,00,,,M,,M,,*7F
$GPRMC,235949.799,V,,,,,0.00,0.00,050180,,,N*46
$PGTOP,11,2*6E
$GPGGA,235950.000,,,,,0,00,,,M,,M,,*70
$GPRMC,235950.000,V,,,,,0.00,0.00,050180,,,N*49
$PGTOP,11,2*6E
$GPGGA,235950.200,,,,,0,00,,,M,,M,,*72
$GPRMC,235950.200,V,,,,,0.00,0.00,050180,,,N*4B
$PGTOP,11,2*6E
$GPGGA,235950.400,,,,,0,00,,,M,,M,,*74
$GPRMC,235950.400,V,,,,,0.00,0.00,050180,,,N*4D
$PGTOP,11,2*6E
$GPGGA,235950.599,,,,,0,00,,,M,,M,,*75
$GPRMC,235950.599,V,,,,,0.00,0.00,050180,,,N*4C
$PGTOP,11,2*6E
$GPGGA,235950.799,,,,,0,00,,,M,,M,,*77
$GPRMC,235950.799,V,,,,,0.00,0.00,050180,,,N*4E
$PGTOP,11,2*6E
$GPGGA,235951.000,,,,,0,00,,,M,,M,,*71
$GPRMC,235951.000,V,,,,,0.00,0.00,050180,,,N*48
$PGTOP,11,2*6E
$GPGGA,235951.199,,,,,0,00,,,M,,M,,*70
